English;French;
Editor Guide;Guide de l'éditeur;
Welcome to the PrettyEditor !;Bienvenu sur PrettyEditor.;
Some shortcut: ;Quelque raaccourci utile :;
Press F3 to show debug informations.;Appuie sur F3 put afficher les informations de debug;
Press F11 to toggle fullscreen.;Appuie sur F11 pour activer/desactiver le mode plaine écran.;
Press Ctr + S to save.;Appuie dur Ctr + S pour sauvegarder.;
Save;Sauvegarder;
Localization Files;Fichier de localisation;
Open File;Ouvrire le fichier;
Path;Chemain;
Create File;Crée un fichier;
Save on close;Sauvegarder a la fermature;
Localization Table;Tableaux de localisation;
New;Nouveau;
Save Editor;
